,date,btc_average
0,2021-01-28,30221.04
1,2021-01-27,30899.505
2,2021-01-26,31879.625
3,2021-01-25,33392.5
4,2021-01-24,31985.5
5,2021-01-23,32423.08
6,2021-01-22,31338.265
7,2021-01-21,32835.5
8,2021-01-20,34907.655
9,2021-01-19,36847.03
10,2021-01-18,36134.915
11,2021-01-17,35351.25
12,2021-01-16,36653.9
13,2021-01-15,37077.880000000005
14,2021-01-14,38400.615000000005
15,2021-01-13,35115.0
16,2021-01-12,34579.5
17,2021-01-11,34342.369999999995
18,2021-01-10,38230.555
19,2021-01-09,40050.0
20,2021-01-08,39225.0
21,2021-01-07,38332.5
22,2021-01-06,35113.604999999996
23,2021-01-05,32130.0
24,2021-01-04,30865.0
25,2021-01-03,33370.55
26,2021-01-02,31123.265
27,2021-01-01,29112.285
28,2020-12-31,28575.0
29,2020-12-30,28158.0
30,2020-12-29,26645.0
31,2020-12-28,26800.5
32,2020-12-27,27061.0
33,2020-12-26,25683.515
34,2020-12-25,24111.73
35,2020-12-24,23248.925
36,2020-12-23,23350.0
37,2020-12-22,23095.25
38,2020-12-21,22958.885000000002
39,2020-12-20,23677.5
40,2020-12-19,23460.735
41,2020-12-18,22817.59
42,2020-12-17,22515.0
43,2020-12-16,20419.3
44,2020-12-15,19310.0
45,2020-12-14,19174.5
46,2020-12-13,19061.059999999998
47,2020-12-12,18484.68
48,2020-12-11,17932.53
49,2020-12-10,18234.22
50,2020-12-09,18144.785
51,2020-12-08,18747.42
52,2020-12-07,19161.895
53,2020-12-06,19138.5
54,2020-12-05,18838.5
55,2020-12-04,19046.155
56,2020-12-03,19232.6
57,2020-12-02,18836.0
58,2020-12-01,18944.559999999998
59,2020-11-30,19024.075
60,2020-11-29,17938.525
61,2020-11-28,17373.025
62,2020-11-27,16947.85
63,2020-11-26,17551.515
64,2020-11-25,18992.239999999998
65,2020-11-24,18718.485
66,2020-11-23,18383.0
67,2020-11-22,18180.43
68,2020-11-21,18637.24
69,2020-11-20,18277.63
70,2020-11-19,17757.725
71,2020-11-18,17845.690000000002
72,2020-11-17,17198.41
73,2020-11-16,16372.0
74,2020-11-15,15977.36
75,2020-11-14,15998.494999999999
76,2020-11-13,16216.175
77,2020-11-12,15890.67
78,2020-11-11,15618.84
79,2020-11-10,15266.23
80,2020-11-09,15322.77
81,2020-11-08,15176.939999999999
82,2020-11-07,15048.869999999999
83,2020-11-06,15563.0
84,2020-11-05,14921.779999999999
85,2020-11-04,13892.0
86,2020-11-03,13675.55
87,2020-11-02,13512.525
88,2020-11-01,13749.0
89,2020-10-31,13755.75
90,2020-10-30,13392.49
91,2020-10-29,13281.84
92,2020-10-28,13373.74
93,2020-10-27,13404.580000000002
94,2020-10-26,13001.904999999999
95,2020-10-25,13119.0
96,2020-10-24,13018.365
97,2020-10-23,12873.885
98,2020-10-22,12931.54
99,2020-10-21,12552.315
100,2020-10-20,11857.985
101,2020-10-19,11615.974999999999
102,2020-10-18,11425.61
103,2020-10-17,11328.71
104,2020-10-16,11370.575
105,2020-10-15,11434.085
106,2020-10-14,11413.99
107,2020-10-13,11428.5
108,2020-10-12,11446.005000000001
109,2020-10-11,11333.0
110,2020-10-10,11270.755000000001
111,2020-10-09,10966.82
112,2020-10-08,10740.205
113,2020-10-07,10614.02
114,2020-10-06,10662.5
115,2020-10-05,10706.82
116,2020-10-04,10607.37
117,2020-10-03,10550.009999999998
118,2020-10-02,10519.32
119,2020-10-01,10678.5
120,2020-09-30,10757.235
121,2020-09-29,10751.705000000002
122,2020-09-28,10788.0
123,2020-09-27,10696.91
124,2020-09-26,10732.810000000001
125,2020-09-25,10658.385
126,2020-09-24,10493.085
127,2020-09-23,10336.985
128,2020-09-22,10462.855
129,2020-09-21,10642.605
130,2020-09-20,10901.82
131,2020-09-19,11033.580000000002
132,2020-09-18,10925.435000000001
133,2020-09-17,10895.645
134,2020-09-16,10877.11
135,2020-09-15,10768.26
136,2020-09-14,10481.17
137,2020-09-13,10390.055
138,2020-09-12,10373.61
139,2020-09-11,10298.8
140,2020-09-10,10277.09
141,2020-09-09,10162.005000000001
142,2020-09-08,10144.0
143,2020-09-07,10142.875
144,2020-09-06,10171.0
145,2020-09-05,10195.34
146,2020-09-04,10251.275
147,2020-09-03,10711.7
148,2020-09-02,11557.335
149,2020-09-01,11782.925
150,2020-08-31,11685.385
151,2020-08-30,11588.5
152,2020-08-29,11498.53
153,2020-08-28,11409.77
154,2020-08-27,11358.6
155,2020-08-26,11391.66
156,2020-08-25,11442.744999999999
157,2020-08-24,11704.994999999999
158,2020-08-23,11616.099999999999
159,2020-08-22,11531.404999999999
160,2020-08-21,11681.904999999999
161,2020-08-20,11778.0
162,2020-08-19,11790.54
163,2020-08-18,12102.85
164,2020-08-17,12118.89
165,2020-08-16,11808.86
166,2020-08-15,11830.0
167,2020-08-14,11742.015
168,2020-08-13,11531.66
169,2020-08-12,11383.76
170,2020-08-11,11530.0
171,2020-08-10,11758.675
172,2020-08-09,11659.54
173,2020-08-08,11660.135
174,2020-08-07,11615.970000000001
175,2020-08-06,11731.25
176,2020-08-05,11436.965
177,2020-08-04,11207.49
178,2020-08-03,11204.5
179,2020-08-02,11320.98
180,2020-08-01,11540.5
181,2020-07-31,11202.0
182,2020-07-30,11000.5
183,2020-07-29,11077.41
184,2020-07-28,10903.615
185,2020-07-27,10656.035
186,2020-07-26,9880.5
187,2020-07-25,9622.95
188,2020-07-24,9550.220000000001
189,2020-07-23,9552.165
190,2020-07-22,9402.5
191,2020-07-21,9295.265
192,2020-07-20,9176.26
193,2020-07-19,9166.810000000001
194,2020-07-18,9170.2
195,2020-07-17,9138.32
196,2020-07-16,9136.7
197,2020-07-15,9218.529999999999
198,2020-07-14,9196.27
199,2020-07-13,9272.355
200,2020-07-12,9251.25
201,2020-07-11,9238.765
202,2020-07-10,9221.24
203,2020-07-09,9300.395
204,2020-07-08,9350.5
205,2020-07-07,9291.21
206,2020-07-06,9215.46
207,2020-07-05,9019.135
208,2020-07-04,9115.02
209,2020-07-03,9081.235
210,2020-07-02,9100.98
211,2020-07-01,9186.05
212,2020-06-30,9134.945
213,2020-06-29,9131.335
214,2020-06-28,9069.529999999999
215,2020-06-27,9014.619999999999
216,2020-06-26,9171.725
217,2020-06-25,9174.845000000001
218,2020-06-24,9439.0
219,2020-06-23,9648.515
220,2020-06-22,9528.545
221,2020-06-21,9351.77
222,2020-06-20,9282.975
223,2020-06-19,9327.045
224,2020-06-18,9384.5
225,2020-06-17,9400.805
226,2020-06-16,9481.045
227,2020-06-15,9202.725
228,2020-06-14,9362.994999999999
