date,open_price,close_price
2016-01-01,436.59,434.28
2016-01-02,433.19,436.72
2016-01-03,429.0,425.85
2016-01-04,429.98,432.92
2016-01-05,433.32,433.39
2016-01-06,431.35,431.7
2016-01-07,450.18,454.06
2016-01-08,457.08,455.14
2016-01-09,451.0,449.53
2016-01-10,443.02,441.73
2016-01-11,446.0,446.74
2016-01-12,445.81,445.88
2016-01-13,429.36,429.97
2016-01-14,431.05,431.5
2016-01-15,407.07,394.13
2016-01-16,355.56,367.83
2016-01-17,381.66,386.46
2016-01-18,374.83,386.15
2016-01-19,383.0,382.01
2016-01-20,378.12,412.2
2016-01-21,416.83,415.59
2016-01-22,397.25,395.6
2016-01-23,386.59,386.4
2016-01-24,387.78,401.24
2016-01-25,399.15,397.58
2016-01-26,392.28,392.0
2016-01-27,394.67,393.58
2016-01-28,383.07,383.88
2016-01-29,373.34,379.55
2016-01-30,379.46,379.31
2016-01-31,379.57,378.99
2016-02-01,374.73,374.24
2016-02-02,373.78,375.05
2016-02-03,373.03,370.68
2016-02-04,372.72,384.29
2016-02-05,387.0,388.45
2016-02-06,374.55,375.77
2016-02-07,374.0,376.98
2016-02-08,377.86,375.64
2016-02-09,372.31,374.67
2016-02-10,378.32,379.91
2016-02-11,377.62,377.06
2016-02-12,380.57,381.25
2016-02-13,385.0,385.0
2016-02-14,402.4,401.99
2016-02-15,404.34,401.06
2016-02-16,400.59,406.99
2016-02-17,416.12,418.59
2016-02-18,419.98,416.92
2016-02-19,418.97,420.99
2016-02-20,425.32,429.84
2016-02-21,446.37,428.64
2016-02-22,437.62,438.75
2016-02-23,418.62,421.88
2016-02-24,414.56,421.98
2016-02-25,421.75,422.03
2016-02-26,424.4,423.99
2016-02-27,432.82,430.36
2016-02-28,424.22,433.31
2016-02-29,437.11,436.15
2016-03-01,430.69,431.6
2016-03-02,431.3,428.79
2016-03-03,420.28,419.13
2016-03-04,417.26,417.41
2016-03-05,402.03,374.0
2016-03-06,392.52,403.17
2016-03-07,403.2,406.53
