date,stonk_close
2021-03-10,50.42
2021-03-09,49.12
2021-03-08,45.4
2021-03-05,43.8
2021-03-04,41.4
2021-03-03,46.16
2021-03-02,44.12
2021-03-01,45.82
2021-02-26,43.2
2021-02-25,48.4
2021-02-24,48.4
2021-02-23,45.84
2021-02-22,53.5
2021-02-19,56.7
2021-02-18,54.07
2021-02-17,54.07
2021-02-16,50.3065
2021-02-12,48.91
2021-02-11,48.0
2021-02-10,44.95
2021-02-09,47.9
2021-02-08,45.69
2021-02-05,37.88
2021-02-04,37.96
2021-02-03,38.06
2021-02-02,36.8
2021-02-01,33.95
2021-01-29,34.69
2021-01-28,33.645
2021-01-27,31.361
2021-01-26,31.487
2021-01-25,33.05
2021-01-22,34.45
2021-01-21,31.935
2021-01-20,35.35
2021-01-19,38.055
2021-01-15,39.34
2021-01-14,43.53
2021-01-13,40.35
2021-01-12,38.92
2021-01-11,37.4
2021-01-08,44.42
2021-01-07,44.97
2021-01-06,43.93
2021-01-05,39.41
2021-01-04,35.08
2020-12-31,32.0
2020-12-30,32.9
2020-12-29,30.08
2020-12-28,30.45
2020-12-24,27.35
2020-12-23,28.88
2020-12-22,30.39
2020-12-21,30.83
2020-12-18,29.48
2020-12-17,28.25
2020-12-16,25.81
2020-12-15,23.255
2020-12-14,22.27
2020-12-11,20.61
2020-12-10,21.47
2020-12-09,20.07
2020-12-08,20.96
2020-12-07,22.46
2020-12-04,23.22
2020-12-03,24.0
2020-12-02,23.39
2020-12-01,23.74
2020-11-30,23.1935
2020-11-27,18.835
2020-11-25,20.865
2020-11-24,22.36
2020-11-23,22.13
2020-11-20,21.24
2020-11-19,20.1
2020-11-18,19.64
2020-11-17,20.16
2020-11-16,18.86
2020-11-13,17.96
2020-11-12,18.24
2020-11-11,17.525
2020-11-10,16.51
2020-11-09,17.09
2020-11-06,17.54
2020-11-05,17.27
2020-11-04,15.87
2020-11-03,15.42
2020-11-02,15.51
2020-10-30,15.38
2020-10-29,15.26
2020-10-28,14.91
2020-10-27,15.67
2020-10-26,14.38
2020-10-23,14.38
2020-10-22,14.625
2020-10-21,14.295
2020-10-20,13.305
2020-10-19,12.83
2020-10-16,12.43
2020-10-15,12.45
2020-10-14,12.2
2020-10-13,12.38
2020-10-12,12.665
2020-10-09,11.77
2020-10-08,11.86
2020-10-07,10.97
2020-10-06,10.845
2020-10-05,11.28
2020-10-02,10.86
2020-10-01,10.87
2020-09-30,10.97
2020-09-29,11.03
2020-09-28,11.16
2020-09-25,11.23
2020-09-24,11.17
2020-09-23,10.61
2020-09-22,11.27
2020-09-21,11.14
2020-09-18,11.74
2020-09-17,11.93
2020-09-16,12.06
2020-09-15,11.95
2020-09-14,11.86
2020-09-11,11.22
2020-09-10,11.37
2020-09-09,11.5575
2020-09-08,11.1101
2020-09-04,12.01
2020-09-03,12.02
2020-09-02,13.195
2020-09-01,13.85
2020-08-31,13.53
2020-08-28,13.2
2020-08-27,12.89
2020-08-26,13.39
2020-08-25,13.0
2020-08-24,13.72
2020-08-21,13.58
2020-08-20,14.16
2020-08-19,13.71
2020-08-18,14.39
2020-08-17,14.75
2020-08-14,13.4
2020-08-13,13.11
2020-08-12,13.1065
2020-08-11,12.55
2020-08-10,13.69
2020-08-07,13.06
2020-08-06,14.44
2020-08-05,13.84
2020-08-04,13.2
2020-08-03,13.34
2020-07-31,12.815
2020-07-30,12.225
2020-07-29,12.35
2020-07-28,12.53
2020-07-27,12.15
2020-07-24,10.38
2020-07-23,10.49
2020-07-22,10.08
2020-07-21,9.87
2020-07-20,9.42
2020-07-17,9.54
2020-07-16,9.31
2020-07-15,9.47
2020-07-14,9.735
2020-07-13,9.6
2020-07-10,9.75
2020-07-09,9.87
2020-07-08,10.33
2020-07-07,9.754
2020-07-06,9.94
2020-07-02,9.37
2020-07-01,9.76
2020-06-30,9.605
2020-06-29,9.49
2020-06-26,9.7
2020-06-25,10.14
2020-06-24,10.2
2020-06-23,10.945
2020-06-22,10.565
2020-06-19,10.31
2020-06-18,10.58
2020-06-17,10.7
2020-06-16,10.905
2020-06-15,10.89
2020-06-12,10.88
2020-06-11,10.8
2020-06-10,12.295
2020-06-09,11.53
2020-06-08,11.58
2020-06-05,11.255
2020-06-04,11.73
2020-06-03,11.34
2020-06-02,11.415
2020-06-01,11.28
2020-05-29,10.89
2020-05-28,10.88
2020-05-27,10.54
2020-05-26,10.18
2020-05-22,10.66
2020-05-21,10.58
2020-05-20,11.225
2020-05-19,11.41
2020-05-18,11.41
2020-05-15,11.05
2020-05-14,11.8
2020-05-13,11.21
2020-05-12,10.63
2020-05-11,10.29
2020-05-08,11.45
2020-05-07,11.975
2020-05-06,10.75
2020-05-05,10.03
2020-05-04,9.97
2020-05-01,9.465
2020-04-30,9.87
2020-04-29,9.6
2020-04-28,8.4
2020-04-27,8.795
2020-04-24,8.55
2020-04-23,8.615
2020-04-22,7.7
2020-04-21,7.44
2020-04-20,7.3
2020-04-17,7.49
2020-04-16,7.66
2020-04-15,7.145
2020-04-14,7.33
2020-04-13,7.25
2020-04-09,7.8
2020-04-08,7.85
2020-04-07,7.66
2020-04-06,7.95
2020-04-03,7.48
2020-04-02,7.7201
2020-04-01,6.495
2020-03-31,7.12
2020-03-30,7.05
2020-03-27,7.3
2020-03-26,7.36
2020-03-25,7.35
2020-03-24,7.55
2020-03-23,7.19
2020-03-20,7.0
2020-03-19,7.2
2020-03-18,6.01
2020-03-17,6.1
2020-03-16,5.539
2020-03-13,6.32
2020-03-12,6.42
2020-03-11,8.61
2020-03-10,9.26
2020-03-09,8.87
2020-03-06,10.58
2020-03-05,10.93
2020-03-04,10.04
2020-03-03,10.0
2020-03-02,10.355
2020-02-28,9.85
2020-02-27,10.51
2020-02-26,10.36
2020-02-25,10.535
2020-02-24,11.72
2020-02-21,12.535
2020-02-20,12.33
2020-02-19,13.13
2020-02-18,13.46
2020-02-14,13.208
2020-02-13,12.55
2020-02-12,13.48
2020-02-11,12.995
2020-02-10,12.18
2020-02-07,11.79
2020-02-06,11.7001
2020-02-05,11.515
2020-02-04,10.54
2020-02-03,10.585
2020-01-31,10.9
2020-01-30,11.33
2020-01-29,10.9
2020-01-28,10.12
2020-01-27,9.82
2020-01-24,9.48
2020-01-23,8.99
2020-01-22,9.53
