date,stonk_close
2021-03-10,668.06
2021-03-09,673.58
2021-03-08,563.0
2021-03-05,597.95
2021-03-04,621.44
2021-03-03,653.2
2021-03-02,686.44
2021-03-01,718.43
2021-02-26,675.5
2021-02-25,682.22
2021-02-24,742.02
2021-02-23,698.84
2021-02-22,714.5
2021-02-19,781.3
2021-02-18,787.38
2021-02-17,798.15
2021-02-16,796.22
2021-02-12,816.12
2021-02-11,811.66
2021-02-10,804.82
2021-02-09,849.46
2021-02-08,863.42
2021-02-05,852.23
2021-02-04,849.99
2021-02-03,854.69
2021-02-02,872.79
2021-02-01,839.81
2021-01-29,793.53
2021-01-28,835.43
2021-01-27,864.16
2021-01-26,883.09
2021-01-25,880.8
2021-01-22,846.64
2021-01-21,844.99
2021-01-20,850.45
2021-01-19,844.55
2021-01-15,826.16
2021-01-14,845.0
2021-01-13,854.41
2021-01-12,849.44
2021-01-11,811.19
2021-01-08,880.02
2021-01-07,816.04
2021-01-06,755.98
2021-01-05,735.11
2021-01-04,729.77
2020-12-31,705.67
2020-12-30,694.78
2020-12-29,665.99
2020-12-28,663.69
2020-12-24,661.77
2020-12-23,645.98
2020-12-22,640.34
2020-12-21,649.86
2020-12-18,695.0
2020-12-17,655.9
2020-12-16,622.77
2020-12-15,633.25
2020-12-14,639.83
2020-12-11,609.99
2020-12-10,627.07
2020-12-09,604.48
2020-12-08,649.88
2020-12-07,641.76
2020-12-04,599.04
2020-12-03,593.38
2020-12-02,568.82
2020-12-01,584.76
2020-11-30,567.6
2020-11-27,585.76
2020-11-25,574.0
2020-11-24,555.38
2020-11-23,521.85
2020-11-20,489.61
2020-11-19,499.27
2020-11-18,486.64
2020-11-17,441.61
2020-11-16,408.09
2020-11-13,408.5
2020-11-12,411.76
2020-11-11,417.13
2020-11-10,410.36
2020-11-09,421.26
2020-11-06,429.95
2020-11-05,438.09
2020-11-04,420.98
2020-11-03,423.9
2020-11-02,400.51
2020-10-30,388.04
2020-10-29,410.83
2020-10-28,406.02
2020-10-27,424.68
2020-10-26,420.28
2020-10-23,420.63
2020-10-22,425.79
2020-10-21,422.64
2020-10-20,421.94
2020-10-19,430.83
2020-10-16,439.67
2020-10-15,448.88
2020-10-14,461.3
2020-10-13,446.65
2020-10-12,442.3
2020-10-09,434.0
2020-10-08,425.92
2020-10-07,425.3
2020-10-06,413.98
2020-10-05,425.68
2020-10-02,415.09
2020-10-01,448.16
2020-09-30,429.01
2020-09-29,419.07
2020-09-28,421.2
2020-09-25,407.34
2020-09-24,387.79
2020-09-23,380.36
2020-09-22,424.23
2020-09-21,449.39
2020-09-18,442.15
2020-09-17,423.43
2020-09-16,441.76
2020-09-15,449.76
2020-09-14,419.62
2020-09-11,372.72
2020-09-10,371.34
2020-09-09,366.28
2020-09-08,330.21
2020-09-04,418.32
2020-09-03,407.0
2020-09-02,447.37
2020-09-01,475.05
2020-08-31,498.32
2020-08-28,442.68
2020-08-27,447.75
2020-08-26,430.634
2020-08-25,404.668
2020-08-24,402.84
2020-08-21,409.996
2020-08-20,400.366
2020-08-19,375.706
2020-08-18,377.418
2020-08-17,367.128
2020-08-14,330.142
2020-08-13,324.2
2020-08-12,310.952
2020-08-11,274.878
2020-08-10,283.714
2020-08-07,290.542
2020-08-06,297.916
2020-08-05,297.004
2020-08-04,297.4
2020-08-03,297.0
2020-07-31,286.152
2020-07-30,297.498
2020-07-29,299.822
2020-07-28,295.298
2020-07-27,307.92
2020-07-24,283.4
2020-07-23,302.614
2020-07-22,318.466
2020-07-21,313.672
2020-07-20,328.6
2020-07-17,300.168
2020-07-16,300.128
2020-07-15,309.202
2020-07-14,303.36
2020-07-13,299.412
2020-07-10,308.93
2020-07-09,278.856
2020-07-08,273.176
2020-07-07,277.972
2020-07-06,274.316
2020-07-02,241.732
2020-07-01,223.926
2020-06-30,215.962
2020-06-29,201.87
2020-06-26,191.948
2020-06-25,197.196
2020-06-24,192.17
2020-06-23,200.356
2020-06-22,198.864
2020-06-19,200.18
2020-06-18,200.792
2020-06-17,198.358
2020-06-16,196.426
2020-06-15,198.18
2020-06-12,187.056
2020-06-11,194.568
2020-06-10,205.01
2020-06-09,188.134
2020-06-08,189.984
2020-06-05,177.132
2020-06-04,172.876
2020-06-03,176.592
2020-06-02,176.312
2020-06-01,179.62
2020-05-29,167.0
2020-05-28,161.162
2020-05-27,164.046
2020-05-26,163.774
2020-05-22,163.376
2020-05-21,165.52
2020-05-20,163.112
2020-05-19,161.602
2020-05-18,162.726
2020-05-15,159.834
2020-05-14,160.666
2020-05-13,158.192
2020-05-12,161.882
2020-05-11,162.258
2020-05-08,163.884
2020-05-07,156.008
2020-05-06,156.516
2020-05-05,153.642
2020-05-04,152.238
2020-05-01,140.264
2020-04-30,156.376
2020-04-29,160.102
2020-04-28,153.824
2020-04-27,159.75
2020-04-24,145.03
2020-04-23,141.126
2020-04-22,146.422
2020-04-21,137.344
2020-04-20,149.272
2020-04-17,150.778
2020-04-16,149.042
2020-04-15,145.966
2020-04-14,141.978
2020-04-13,130.19
2020-04-09,114.6
2020-04-08,109.768
2020-04-07,109.09
2020-04-06,103.248
2020-04-03,96.002
2020-04-02,90.894
2020-04-01,96.312
2020-03-31,104.8
2020-03-30,100.426
2020-03-27,102.872
2020-03-26,105.632
2020-03-25,107.85
2020-03-24,101.0
2020-03-23,86.858
2020-03-20,85.506
2020-03-19,85.528
2020-03-18,72.244
2020-03-17,86.04
2020-03-16,89.014
2020-03-13,109.324
2020-03-12,112.11
2020-03-11,126.846
2020-03-10,129.066
2020-03-09,121.6
2020-03-06,140.696
2020-03-05,144.908
2020-03-04,149.9
2020-03-03,149.102
2020-03-02,148.724
2020-02-28,133.598
2020-02-27,135.8
2020-02-26,155.76
2020-02-25,159.982
2020-02-24,166.758
2020-02-21,180.2
2020-02-20,179.882
2020-02-19,183.484
2020-02-18,171.68
2020-02-14,160.006
2020-02-13,160.8
2020-02-12,153.458
2020-02-11,154.876
2020-02-10,154.256
2020-02-07,149.614
2020-02-06,149.792
2020-02-05,146.94
2020-02-04,177.412
2020-02-03,156.0
2020-01-31,130.114
2020-01-30,128.162
2020-01-29,116.198
2020-01-28,113.38
2020-01-27,111.604
2020-01-24,112.964
2020-01-23,114.44
2020-01-22,113.912
2020-01-21,109.44
2020-01-17,102.1
2020-01-16,102.698
2020-01-15,103.7
2020-01-14,107.584
2020-01-13,104.972
2020-01-10,95.63
2020-01-09,96.268
2020-01-08,98.428
2020-01-07,93.812
2020-01-06,90.308
2020-01-03,88.602
2020-01-02,86.052
2019-12-31,83.666
2019-12-30,82.94
2019-12-27,86.076
2019-12-26,86.188
2019-12-24,85.05
2019-12-23,83.844
2019-12-20,81.118
2019-12-19,80.808
2019-12-18,78.63
2019-12-17,75.798
2019-12-16,76.3
2019-12-13,71.678
2019-12-12,71.936
2019-12-11,70.54
2019-12-10,69.768
2019-12-09,67.906
2019-12-06,67.178
2019-12-05,66.074
2019-12-04,66.606
2019-12-03,67.24
2019-12-02,66.974
2019-11-29,65.988
2019-11-27,66.258
2019-11-26,65.784
2019-11-25,67.268
2019-11-22,66.608
2019-11-21,70.966
2019-11-20,70.444
2019-11-19,71.904
2019-11-18,69.998
2019-11-15,70.434
2019-11-14,69.87
2019-11-13,69.222
2019-11-12,69.986
2019-11-11,69.018
2019-11-08,67.428
2019-11-07,67.108
2019-11-06,65.316
2019-11-05,63.444
2019-11-04,63.494
2019-11-01,62.662
2019-10-31,62.984
2019-10-30,63.002
2019-10-29,63.244
2019-10-28,65.542
2019-10-25,65.626
2019-10-24,59.936
2019-10-23,50.936
2019-10-22,51.116
2019-10-21,50.7
2019-10-18,51.39
2019-10-17,52.394
2019-10-16,51.95
2019-10-15,51.578
2019-10-14,51.392
2019-10-11,49.578
2019-10-10,48.948
2019-10-09,48.906
2019-10-08,48.01
2019-10-07,47.544
2019-10-04,46.286
2019-10-03,46.606
2019-10-02,48.626
2019-10-01,48.938
2019-09-30,48.174
2019-09-27,48.426
2019-09-26,48.512
2019-09-25,45.74
2019-09-24,44.642
2019-09-23,48.246
2019-09-20,48.124
2019-09-19,49.32
2019-09-18,48.698
2019-09-17,48.958
2019-09-16,48.562
2019-09-13,49.04
2019-09-12,49.174
2019-09-11,49.42
2019-09-10,47.108
2019-09-09,46.358
2019-09-06,45.49
2019-09-05,45.916
2019-09-04,44.136
2019-09-03,45.002
2019-08-30,45.122
2019-08-29,44.342
2019-08-28,43.118
2019-08-27,42.816
2019-08-26,43.0
2019-08-23,42.28
2019-08-22,44.43
2019-08-21,44.166
2019-08-20,45.172
2019-08-19,45.366
2019-08-16,43.988
2019-08-15,43.128
2019-08-14,43.924
2019-08-13,47.0
2019-08-12,45.802
2019-08-09,47.002
2019-08-08,47.66
2019-08-07,46.684
2019-08-06,46.15
2019-08-05,45.664
2019-08-02,46.868
2019-08-01,46.77
2019-07-31,48.322
2019-07-30,48.452
2019-07-29,47.154
2019-07-26,45.608
2019-07-25,45.764
2019-07-24,52.976
2019-07-23,52.034
2019-07-22,51.136
2019-07-19,51.636
2019-07-18,50.708
2019-07-17,50.972
2019-07-16,50.476
2019-07-15,50.7
2019-07-12,49.016
2019-07-11,47.72
2019-07-10,47.784
2019-07-09,46.012
2019-07-08,46.068
2019-07-05,46.62
2019-07-03,46.98
2019-07-02,44.91
2019-07-01,45.434
2019-06-28,44.692
2019-06-27,44.568
2019-06-26,43.854
2019-06-25,43.952
2019-06-24,44.728
2019-06-21,44.372
2019-06-20,43.924
2019-06-19,45.286
2019-06-18,44.948
2019-06-17,45.006
2019-06-14,42.984
2019-06-13,42.782
2019-06-12,41.852
2019-06-11,43.42
2019-06-10,42.576
2019-06-07,40.9
2019-06-06,41.19
2019-06-05,39.318
2019-06-04,38.72
2019-06-03,35.794
2019-05-31,37.032
2019-05-30,37.644
2019-05-29,37.972
2019-05-28,37.74
2019-05-24,38.126
2019-05-23,39.098
2019-05-22,38.546
2019-05-21,41.016
2019-05-20,41.072
2019-05-17,42.206
2019-05-16,45.666
2019-05-15,46.39
2019-05-14,46.462
2019-05-13,45.402
2019-05-10,47.904
2019-05-09,48.396
2019-05-08,48.968
2019-05-07,49.412
2019-05-06,51.068
2019-05-03,51.006
2019-05-02,48.82
2019-05-01,46.802
2019-04-30,47.738
2019-04-29,48.294
2019-04-26,47.028
2019-04-25,49.526
2019-04-24,51.732
2019-04-23,52.78
2019-04-22,52.55
2019-04-18,54.652
2019-04-17,54.246
2019-04-16,54.672
2019-04-15,53.276
2019-04-12,53.54
